Pos,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
M,Chukwuemeka,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
D,Chalobah,5.0,5.0,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
M,Tzolis,5.0,5.0,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
F,Lukaku,11.5,11.5,Chelsea,57,3.4,79,3.951,76,5.758,76,4.183,74,3.851,74,5.688
F,Balogun,5.0,5.0,Arsenal,23,1.009,15,0.627,13,0.838,17,0.909,16,0.851,15,0.738
M,Nelson,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
G,Hein,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
F,Richardson,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
D,Thomas,4.0,4.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
F,Zeqiri,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Karbownik,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
M,Richards,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
M,Caicedo,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Emerson,4.5,4.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Hannam,4.0,4.0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
M,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
F,Street,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
M,Banks,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
D,Branthwaite,4.0,4.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0
F,Broadhead,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0
D,Valery,4.0,4.0,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
M,Cundle,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
M,Campbell,4.5,4.5,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
D,Marques,4.0,4.0,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
F,Greenwood,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
M,Summerville,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
M,Forshaw,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
M,Woodburn,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
D,Baptiste,4.0,4.0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
D,Varane,5.5,5.5,Man Utd,33,1.408,75,3.343,81,4.127,81,2.936,80,3.699,79,3.629
F,Roberts,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0,0,0
D,Itakura,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0,0,0
M,Herrera,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0,0,0
D,Zappacosta,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,1,0.058
M,Baker,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
M,Musonda Jr.,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Miazga,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Baba,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
M,Bakayoko,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
M,Drinkwater,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Carter-Vickers,99.9,99.9,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
F,Clarke,99.9,99.9,Spurs,0,0,0,0,0,0,0,0,0,0,0,0
F,Percy Tau,99.9,99.9,Brighton,4,0.224,5,0.263,4,0.203,4,0.2,2,0.102,1,0.052
G,Walton,99.9,99.9,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,van Hecke,99.9,99.9,Brighton,0,0,0,0,1,0.035,2,0.067,2,0.079,4,0.141
M,Baluta,99.9,99.9,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
F,Locadia,99.9,99.9,Brighton,4,0.213,6,0.304,3,0.146,2,0.099,2,0.103,2,0.102
G,Lewis,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
M,Stevens,99.9,99.9,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
F,Gelhardt,99.9,99.9,Leeds,1,0.051,2,0.099,2,0.088,3,0.152,3,0.154,3,0.163
M,Gotts,99.9,99.9,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
F,Valencia,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Jeanvier,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Racic,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Stevens,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
G,Karius,99.9,99.9,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
F,Sheyi Ojo,99.9,99.9,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
D,Jones,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
F,Diallo,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
G,Lee Grant,99.9,99.9,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0
G,Jakupovic,99.9,99.9,Leicester,0,0,0,0,0,0,0,0,0,0,0,0
D,Benkovic,99.9,99.9,Leicester,0,0,1,0.044,0,0,1,0.036,0,0,0,0
D,Nkounkou,99.9,99.9,Everton,0,0,0,0,0,0,1,0.031,2,0.092,1,0.022
F,Tosun,99.9,99.9,Everton,0,0,0,0,0,0,0,0,0,0,0,0
F,Kean,99.9,99.9,Everton,3,0.156,3,0.142,3,0.17,3,0.153,4,0.243,3,0.13
D,Buur,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
M,Jordão,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,0,0,0,0
F,Rafa Mir,99.9,99.9,Wolves,2,0.105,2,0.097,3,0.164,3,0.18,5,0.271,6,0.377
M,Ronan,99.9,99.9,Wolves,0,0,0,0,0,0,0,0,1,0.035,1,0.038
G,Martin,99.9,99.9,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
F,Xande Silva,99.9,99.9,West Ham,0,0,0,0,0,0,0,0,0,0,0,0
M,Sibo,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0,0,0
G,Elliot,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0,0,0
D,Bushiri,99.9,99.9,Norwich,0,0,0,0,0,0,4,0.152,6,0.141,0,0
M,Trybull,99.9,99.9,Norwich,22,0.589,25,0.742,21,0.607,20,0.661,22,0.645,25,0.765
M,Adshead,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
G,Oxborough,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
D,Klose,99.9,99.9,Norwich,0,0,0,0,5,0.106,0,0,1,0.025,1,0.032
M,Sitti,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
M,Clarke,99.9,99.9,Norwich,0,0,0,0,0,0,0,0,0,0,0,0
G,Matthews,99.9,99.9,Crystal Palace,0,0,0,0,0,0,0,0,1,0.042,2,0.077
G,Carson,99.9,99.9,Man City,0,0,0,0,0,0,0,0,0,0,0,0
M,Peart-Harris,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
G,Bettinelli,99.9,99.9,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Simeu,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
D,McQueen,99.9,99.9,Southampton,0,0,0,0,0,0,0,0,0,0,0,0
G,Fernández,99.9,99.9,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
M,Tufan,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0,0,0
M,Tufan,99.9,99.9,Watford,0,0,0,0,0,0,0,0,0,0,0,0
